date,time,currency,event,impact,actual,forecast,previous
2022-01-14,8:30am,GBP,CB Leading Index m/m,Medium,,0.1%,
2022-01-14,8:57am,GBP,NIESR GDP Estimate,Medium,,1.1%,
2022-01-14,9:00am,USD,Prelim UoM Consumer Sentiment,Low,70.0,70.6,
2022-01-14,9:00am,USD,Business Inventories m/m,Medium,1.3%,1.3%,
2022-01-14,9:00am,USD,Prelim UoM Inflation Expectations,Medium,,4.8%,
2022-01-14,10:00am,USD,FOMC Member Williams Speaks,Medium,,,
2022-01-16,6:01pm,GBP,Rightmove HPI m/m,Medium,,-0.7%,
2022-01-16,10:30pm,JPY,Tertiary Industry Activity m/m,Medium,1.1%,1.9%,
2022-01-17,All Day,EUR,Eurogroup Meetings,Medium,,,
2022-01-17,All Day,USD,Bank Holiday,Low,,,
2022-01-17,8:45pm,JPY,BOJ Outlook Report,High,,,
2022-01-17,8:45pm,JPY,Monetary Policy Statement,Low,,,
2022-01-17,8:45pm,JPY,BOJ Policy Rate,Medium,-0.10%,-0.10%,
2022-01-17,10:30pm,JPY,Revised Industrial Production m/m,Medium,7.2%,7.2%,
2022-01-18,1:00am,GBP,Average Earnings Index 3m/y,Medium,4.2%,4.9%,
2022-01-18,1:00am,GBP,Claimant Count Change,Medium,-38.6K,-95.1K,
2022-01-18,1:00am,GBP,Unemployment Rate,Medium,4.2%,4.2%,
2022-01-18,1:30am,CHF,PPI m/m,Medium,0.4%,0.5%,
2022-01-18,3:00am,EUR,Italian Trade Balance,Medium,4.23B,3.89B,
2022-01-18,4:00am,EUR,ZEW Economic Sentiment,Low,29.2,26.8,
2022-01-18,4:00am,EUR,German ZEW Economic Sentiment,Low,32.1,29.9,
2022-01-18,All Day,EUR,ECOFIN Meetings,Medium,,,
2022-01-18,7:30am,USD,Empire State Manufacturing Index,Low,25.0,31.9,
2022-01-18,9:00am,USD,NAHB Housing Market Index,Medium,84,84,
2022-01-18,3:00pm,USD,TIC Long-Term Purchases,Medium,37.6B,7.1B,
2022-01-19,WedJan 19,GBP,CPI y/y,High,5.2%,5.1%,
2022-01-19,WedJan 19,GBP,Core CPI y/y,Medium,3.9%,4.0%,
2022-01-19,WedJan 19,GBP,PPI Input m/m,Medium,0.6%,1.5%,
2022-01-19,WedJan 19,GBP,PPI Output m/m,Medium,0.6%,1.0%,
2022-01-19,WedJan 19,GBP,RPI y/y,Medium,7.1%,7.1%,
2022-01-19,3:00am,EUR,Current Account,Medium,20.3B,19.4B,
2022-01-19,3:30am,GBP,HPI y/y,Medium,10.0%,9.8%,
2022-01-19,7:30am,USD,Building Permits,Medium,1.71M,1.71M,
2022-01-19,7:30am,USD,Housing Starts,Medium,1.65M,1.68M,
2022-01-19,8:15am,GBP,BOE Gov Bailey Speaks,High,,,
2022-01-19,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2022-01-19,5:50pm,JPY,Trade Balance,Medium,-0.73T,-0.47T,
2022-01-19,6:01pm,GBP,RICS House Price Balance,Medium,69%,71%,
2022-01-20,3:48am,EUR,Spanish 10-y Bond Auction,Medium,,0.39|2.1,
2022-01-20,4:00am,EUR,Final Core CPI y/y,Medium,2.6%,2.6%,
2022-01-20,4:00am,EUR,Final CPI y/y,Medium,5.0%,5.0%,
2022-01-20,6:30am,EUR,ECB Monetary Policy Meeting Accounts,Medium,,,
2022-01-20,7:30am,USD,Philly Fed Manufacturing Index,Low,18.9,15.4,
2022-01-20,7:30am,USD,Unemployment Claims,Low,227K,231K,
2022-01-20,9:00am,USD,Existing Home Sales,Low,6.42M,6.48M,
2022-01-20,9:30am,USD,Natural Gas Storage,Medium,-190B,-179B,
2022-01-20,10:00am,USD,Crude Oil Inventories,Low,-2.1M,-4.6M,
2022-01-20,5:30pm,JPY,National Core CPI y/y,Medium,0.6%,0.5%,
2022-01-20,5:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2022-01-20,6:01pm,GBP,GfK Consumer Confidence,Medium,-15,-15,
2022-01-21,6:30am,EUR,ECB President Lagarde Speaks,Low,,,
2022-01-21,7:00am,GBP,MPC Member Mann Speaks,Medium,,,
2022-01-21,8:57am,EUR,Consumer Confidence,Medium,-9,-8,
2022-01-21,9:00am,USD,CB Leading Index m/m,Medium,0.8%,0.7%,
2022-01-21,10:30am,USD,Treasury Sec Yellen Speaks,Low,,,
2022-01-23,6:30pm,JPY,Flash Manufacturing PMI,Medium,55.0,54.3,
2022-01-24,MonJan 24,EUR,French Flash Manufacturing PMI,Medium,55.2,55.6,
2022-01-24,2:30am,EUR,German Flash Manufacturing PMI,High,56.9,57.4,
2022-01-24,2:30am,EUR,German Flash Services PMI,High,47.9,48.7,
2022-01-24,3:00am,EUR,Flash Manufacturing PMI,Medium,57.6,58.0,
2022-01-24,3:00am,EUR,Flash Services PMI,Medium,51.9,53.1,
2022-01-24,3:30am,GBP,Flash Manufacturing PMI,Low,57.7,57.9,
2022-01-24,3:30am,GBP,Flash Services PMI,Low,53.9,53.6,
2022-01-24,5:00am,EUR,German Buba Monthly Report,Medium,,,
2022-01-24,8:45am,USD,Flash Manufacturing PMI,Low,56.9,57.7,
2022-01-24,8:45am,USD,Flash Services PMI,Low,54.9,57.6,
2022-01-24,11:00pm,JPY,BOJ Core CPI y/y,Medium,0.7%,0.8%,
2022-01-25,3:00am,EUR,German ifo Business Climate,Low,94.6,94.8,
2022-01-25,5:00am,GBP,CBI Industrial Order Expectations,Medium,22,24,
2022-01-25,7:56am,EUR,Belgian NBB Business Climate,Medium,4.2,3.6,
2022-01-25,8:00am,USD,HPI m/m,Medium,1.1%,1.1%,
2022-01-25,8:00am,USD,S&P/CS Composite-20 HPI y/y,Medium,17.9%,18.5%,
2022-01-25,8:59am,USD,Richmond Manufacturing Index,Medium,14,16,
2022-01-25,9:00am,USD,CB Consumer Confidence,Low,111.4,115.2,
2022-01-25,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2022-01-25,5:50pm,JPY,BOJ Summary of Opinions,Medium,,,
2022-01-25,5:50pm,JPY,SPPI y/y,Medium,1.0%,1.1%,
2022-01-26,4:32am,EUR,German 10-y Bond Auction,Medium,,-0.09|1.5,
2022-01-26,7:30am,USD,Goods Trade Balance,Medium,-96.1B,-98.0B,
2022-01-26,7:30am,USD,Prelim Wholesale Inventories m/m,Medium,1.3%,1.4%,
2022-01-26,9:00am,USD,New Home Sales,Medium,759K,725K,
2022-01-26,9:30am,USD,Crude Oil Inventories,Low,1.0M,0.5M,
2022-01-26,1:00pm,USD,Federal Funds Rate,High,<0.25%,<0.25%,
2022-01-26,1:00pm,USD,FOMC Statement,High,,,
2022-01-26,1:30pm,USD,FOMC Press Conference,High,,,
2022-01-27,ThuJan 27,EUR,German GfK Consumer Climate,Medium,-7.9,-6.9,
2022-01-27,2:00am,EUR,Spanish Unemployment Rate,Medium,14.2%,14.6%,
2022-01-27,5:00am,GBP,CBI Realized Sales,Medium,11,8,
2022-01-27,7:30am,USD,Advance GDP q/q,High,5.3%,2.3%,
2022-01-27,7:30am,USD,Advance GDP Price Index q/q,Low,6.0%,6.0%,
2022-01-27,7:30am,USD,Core Durable Goods Orders m/m,Low,0.4%,0.9%,
2022-01-27,7:30am,USD,Durable Goods Orders m/m,Low,-0.6%,2.6%,
2022-01-27,7:30am,USD,Unemployment Claims,Low,260K,290K,
2022-01-27,9:00am,USD,Pending Home Sales m/m,Low,-0.9%,-2.3%,
2022-01-27,9:30am,USD,Natural Gas Storage,Medium,-205B,-206B,
2022-01-27,5:30pm,JPY,Tokyo Core CPI y/y,Medium,0.3%,0.5%,
2022-01-28,FriJan 28,EUR,French Flash GDP q/q,Medium,0.5%,3.1%,
2022-01-28,1:00am,EUR,German Import Prices m/m,Medium,1.8%,3.0%,
2022-01-28,2:00am,CHF,KOF Economic Barometer,Low,106.0,107.2,
2022-01-28,2:00am,EUR,Spanish Flash GDP q/q,Medium,1.4%,2.6%,
2022-01-28,3:00am,EUR,M3 Money Supply y/y,Medium,6.8%,7.4%,
